PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,NUM.CREDITOS SOLICITADOS,latitud,longitud,meses_transcurridos,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico,Cuotas en mora
30.0,0.18,2198.0,1.5184948361408164,0.6,1.0,6.25184,-75.56359,31.07752956636005,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,1925.0,3.3,1.9,1.0,4.60971,-74.08175,31.07752956636005,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
28.0,0.2,2011.0,1.7,0.22,1.0,11.27251,-73.30911,31.07752956636005,11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.18,1366.0,0.1,0.35,1.0,4.60971,-74.08175,6.471747700394218,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.2,1366.0,4.0,1.2,1.0,6.25184,-75.56359,31.07752956636005,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.25,1377.0,1.3,0.3,1.0,4.81367,-74.35453,52.82522996057818,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
28.0,0.2,1731.0,3.8,1.9,1.0,4.57937,-74.21682,131.85775295663603,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
30.0,0.45,1433.0,1.8,0.75,1.0,5.61637,-73.81748,46.057818659658345,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.5,1142.0,1.0,0.3,1.0,4.60971,-74.08175,40.96583442838371,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.21,1842.0,1.7,1.0,1.0,2.50861,-78.4511,65.99868593955323,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
29.0,0.2,1861.0,2.8,1.4,1.0,10.46314,-73.25322,31.07752956636005,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.2,595.0,1.7,1.0,1.0,4.57937,-74.21682,73.0946123521682,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.35,1780.0,1.5,0.4,1.0,4.60971,-74.08175,0.5256241787122208,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.15,1668.0,1.2,0.5,1.0,6.25184,-75.56359,7.490144546649145,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
