PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,Cuotas en mora,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico
30.0,0.17,2535.0,1.2,0.7,10.91843,-74.76459,31.192509855453352,1,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.12,2531.0,1.4864064838208044,0.6,6.25184,-75.56359,10.0,0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.4,2516.0,2.104274719492196,0.6,10.96854,-74.78132,31.192509855453352,0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2489.0,2.020998341537138,0.6,10.03672,-73.23558,12.0,0,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.25,2476.0,1.9507589105245309,0.6,4.60971,-74.08175,25.492772667542702,0,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2472.0,1.970517156464993,0.6,2.93833,-73.20833,15.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2472.0,1.451149423154975,0.6,3.43722,-76.5225,23.0,0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2470.0,1.922595372100288,0.6,10.96854,-74.78132,24.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
24.0,0.25,2465.0,2.22,0.6,4.60971,-74.08175,31.192509855453352,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2464.0,1.6381753005346231,0.6,3.43722,-76.5225,31.192509855453352,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2464.0,1.5,0.3,10.96854,-74.78132,0.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2463.0,0.8,0.6,4.60971,-74.08175,31.192509855453352,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2462.0,1.0,0.4,7.12539,-73.1198,31.192509855453352,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,0.3,2453.0,1.9301505849675744,0.6,4.91726,-74.09364,24.0,0,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2436.0,2.138948432570128,0.6,4.60971,-74.08175,31.192509855453352,1,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
