PLAZO,CAPITAL,INT CORRIENTE,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,latitud,longitud,meses_transcurridos
30,120000,2252.4,2015-10-08,2766,1,empleado,nan,2.0,menos de un ano,,,,indefinido,quincenal,nan,nan,1.0,2.0,ninguno,1,0,10.46314,-73.25322,24.0
28,100000,1751.866667,2015-11-24,2719,1,empleado,nan,2.0,mas de 5 anos,,,,termino fijo,mensual,nan,nan,2.0,2.0,ninguno,1,0,4.60971,-74.08175,18.0
29,400000,7257.733333,2015-12-02,2711,1,pensionado,nan,3.0,mas de 5 anos,,,,nan,nan,nan,nan,3.0,1.0,ninguno,1,0,4.83916,-75.66727,
22,100000,1376.466667,2015-12-17,2696,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,3.0,1.0,moto,1,0,4.60971,-74.08175,12.0
30,230000,4317.1,2015-12-18,2695,1,empleado,nan,5.0,mas de 5 anos,,,,termino fijo,quincenal,nan,nan,1.0,1.0,ninguno,1,0,5.06889,-75.51738,24.0
30,330000,6194.1,2015-12-19,2694,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,ninguno,1,0,6.25184,-75.56359,15.0
30,100000,1877.0,2016-01-02,2680,1,empleado,nan,3.0,mas de 5 anos,,,,termino fijo,quincenal,nan,nan,0.0,0.0,carro,1,0,3.43722,-76.5225,6.0
30,170000,3190.9,2016-01-02,2680,1,empleado,nan,4.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.15515,-75.37371,12.0
18,150000,1689.3,2016-01-05,2677,1,empleado,nan,1.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,moto,1,0,4.81333,-75.69611,96.0
30,150000,2815.5,2016-01-16,2666,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,ninguno,1,0,6.25184,-75.56359,
27,100000,1689.3,2016-01-17,2665,1,empleado,nan,3.0,menos de un ano,,,,indefinido,quincenal,nan,nan,2.0,2.0,ninguno,1,0,4.60971,-74.08175,48.0
30,130000,2440.1,2016-01-21,2661,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,1.0,ninguno,1,0,4.60971,-74.08175,
30,170000,3190.9,2016-01-23,2659,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,1.0,0.0,ninguno,1,0,10.46314,-73.25322,36.0
15,160000,1501.6,2016-01-23,2659,1,empleado,nan,2.0,menos de un ano,,,,indefinido,mensual,nan,nan,0.0,0.0,ninguno,1,0,3.43722,-76.5225,9.0
14,150000,1313.9,2016-01-29,2653,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,2.0,2.0,ninguno,1,0,5.96278,-75.73806,15.0
30,150000,2815.5,2016-01-29,2653,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,9.0
30,200000,3754.0,2016-02-03,2648,1,empleado,nan,2.0,entre uno y cinco anos,,,,termino fijo,mensual,nan,nan,0.0,0.0,ninguno,1,0,4.60971,-74.08175,17.0
30,100000,1877.0,2016-02-06,2645,1,empleado,nan,3.0,entre uno y cinco anos,,,,termino fijo,mensual,nan,nan,0.0,0.0,ninguno,1,0,5.54782,-75.64368,84.0
30,180000,3378.6,2016-02-07,2644,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.25184,-75.56359,36.0
30,400000,7508.0,2016-02-08,2643,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,3.43722,-76.5225,24.0
