PLAZO,CAPITAL,INT CORRIENTE,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,TIEMPO TRABAJO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE
29,400000,7257.733333,11/3/2015,12/2/2015,2711,1,Pensionado,dosquebradas,jefe de recurso,,3.0,mas de 5 años,,,,,,,,3.0,1.0,Ninguno,,1,0
22,100000,1376.466667,11/25/2015,12/17/2015,2696,1,Empleado,BOGOTA,AUXILIAR TECNOLOGIA,,3.0,mas de 5 años,,,,Indefinido,Quincenal,,,3.0,1.0,Moto,1 AÑO,1,0
30,230000,4317.1,11/18/2015,12/18/2015,2695,1,Empleado,Manizales,Ingeniera de alimentos,,5.0,mas de 5 años,,,,Termino fijo,Quincenal,,,1.0,1.0,Ninguno,2 años,1,0
30,330000,6194.1,11/19/2015,12/19/2015,2694,1,Empleado,Medellín,Auxiliar de enfermeria,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,1.0,Ninguno,15 meses,1,0
30,100000,1877.0,12/3/2015,1/2/2016,2680,1,Empleado,Cali,Profesional de Talento Humano,,3.0,mas de 5 años,,,,Termino fijo,Quincenal,,,0.0,0.0,Carro,6 meses,1,0
30,170000,3190.9,12/3/2015,1/2/2016,2680,1,Empleado,Rionegro,Supervisor,,4.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,1 año,1,0
18,150000,1689.3,12/18/2015,1/5/2016,2677,1,Empleado,PEREIRA,AUXILIAR DE PARQUEADERO E INFORMADORA,,1.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,1.0,Moto,8 AÑOS,1,0
30,150000,2815.5,12/17/2015,1/16/2016,2666,1,Empleado,Medellín,Auxiliar de facturación,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,1.0,Ninguno,2021-03-01,1,0
27,100000,1689.3,12/21/2015,1/17/2016,2665,1,Empleado,Cundinamarca,Analista Gestión Integral,,3.0,menos de un año,,,,Indefinido,Quincenal,,,2.0,2.0,Ninguno,4 años,1,0
30,130000,2440.1,12/22/2015,1/21/2016,2661,1,Empleado,bogota,asistente compras,,3.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,1.0,Ninguno,2020-02-04,1,0
30,170000,3190.9,12/24/2015,1/23/2016,2659,1,Empleado,VALLEDUPAR,AUXILIAR DE ENFERMERIA,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,1.0,0.0,Ninguno,3 AÑOS,1,0
15,160000,1501.6,1/8/2016,1/23/2016,2659,1,Empleado,cali,asesor contact center,,2.0,menos de un año,,,,Indefinido,Mensual,,,0.0,0.0,Ninguno,9 meses,1,0
14,150000,1313.9,1/15/2016,1/29/2016,2653,1,Empleado,venecia,asistente,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,2.0,2.0,Ninguno,15 meses,1,0
30,150000,2815.5,12/30/2015,1/29/2016,2653,1,Empleado,Bogota,Oficios varios,,3.0,mas de 5 años,,,,Indefinido,Quincenal,,,1.0,1.0,Ninguno,9 meses,1,0
30,200000,3754.0,1/4/2016,2/3/2016,2648,1,Empleado,Bogota,Supervisor Camercial,,2.0,entre uno y cinco años,,,,Termino fijo,Mensual,,,0.0,0.0,Ninguno,17 meses,1,0
30,100000,1877.0,1/7/2016,2/6/2016,2645,1,Empleado,BUCARAMANGA,ASISTENTE DE GERENCIA,,3.0,entre uno y cinco años,,,,Termino fijo,Mensual,,,0.0,0.0,Ninguno,7,1,0
30,180000,3378.6,1/8/2016,2/7/2016,2644,1,Empleado,medellin,mensajero,,2.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,3 años,1,0
30,400000,7508.0,1/9/2016,2/8/2016,2643,1,Empleado,cali,analista,,3.0,entre uno y cinco años,,,,Indefinido,Mensual,,,1.0,1.0,Ninguno,2 años,1,0
29,170000,3084.536667,1/14/2016,2/12/2016,2639,1,Pensionado,medellin,,,4.0,menos de un año,,,,,,,,0.0,2.0,Ninguno,,1,0
23,150000,2158.55,1/20/2016,2/12/2016,2639,1,Empleado,Bogota,Auxiliar Administrativa,,3.0,menos de un año,,,,Indefinido,Mensual,,,0.0,0.0,Ninguno,7 meses,1,0
30,380000,7132.6,1/15/2016,2/14/2016,2637,1,Empleado,Bogota,AUXILIAR DE SERVICIOS GENERALES,,2.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,1 Y 8 MESES,1,0
30,200000,3754.0,1/21/2016,2/20/2016,2631,1,Empleado,Cali,Mensajero,,3.0,mas de 5 años,,,,Indefinido,Quincenal,,,2.0,1.0,Ninguno,6 años,1,0
30,300000,5631.0,1/27/2016,2/26/2016,2625,1,Independiente,San agustin,Mecanico,,3.0,menos de un año,,,,,,,,1.0,1.0,Carro,,1,0
30,250000,4692.5,1/29/2016,2/28/2016,2623,1,Empleado,Envigado,Asesora comercial,,3.0,mas de 5 años,,,,,Quincenal,,,2.0,0.0,Ninguno,4 meses,1,0
30,200000,3754.0,2/2/2016,3/3/2016,2619,1,Empleado,Soacha,AUXILIAR CONTABLE,,2.0,mas de 5 años,,,,Indefinido,Quincenal,,,1.0,1.0,Ninguno,UN AÑO,1,0
30,150000,2815.5,2/4/2016,3/5/2016,2617,1,Empleado,bogota,auxiliar de medios audiovisuales,,2.0,mas de 5 años,,,,Indefinido,Mensual,,,1.0,1.0,Ninguno,7 años y 10 meses,1,0
27,150000,2533.95,7/23/2015,8/19/2015,2617,0,Empleado,bogota,asistente facturacion,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,1 año,1,0
