objectId,muni,featureCode,countryCode,cityId,ACL,name,population,updatedAt,location,country,createdAt,adminCode
qvpaGw6Zp1,,PPL,CO,3689611,,argelia,3474,Thu Dec 12 2019 14:17:20 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.73127,""longitude"":-75.14257}",Colombia,Thu Dec 12 2019 14:17:20 GMT-0500 (Colombia Standard Time),2
qwLIEU3rLr,,PPL,CO,3688071,,caicedonia,32417,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.3324,""longitude"":-75.82665}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),29
r2puM6nIFB,,PPL,CO,3667547,,talaigua viejo,6217,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":9.31206,""longitude"":-74.58544}",Colombia,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),35
r9bwvsnvn1,,PPL,CO,3669156,,san pedro,5473,Thu Dec 12 2019 14:16:12 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":3.99445,""longitude"":-76.22885}",Colombia,Thu Dec 12 2019 14:16:12 GMT-0500 (Colombia Standard Time),29
rDRkPHRrG7,,PPL,CO,3671387,,puerto narino,2113,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":-3.78889,""longitude"":-70.35584}",Colombia,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),1
rITjXGuA4N,,PPL,CO,3787727,,san andres,3154,Thu Dec 12 2019 14:17:21 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.90333,""longitude"":-75.6825}",Colombia,Thu Dec 12 2019 14:17:21 GMT-0500 (Colombia Standard Time),2
rUTIEXMNR5,,PPL,CO,3671072,,quipile,1896,Thu Dec 12 2019 14:16:14 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.74806,""longitude"":-74.56306}",Colombia,Thu Dec 12 2019 14:16:14 GMT-0500 (Colombia Standard Time),33
rYbOBu5IBL,,PPL,CO,3685871,,corinto,16579,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":3.17301,""longitude"":-76.26275}",Colombia,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),9
rZlbSTOk1g,,PPL,CO,3686922,,cerete,55513,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":8.88479,""longitude"":-75.79052}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),12
rePbPkiJuU,,PPL,CO,3685095,,dos quebradas,179583,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.83916,""longitude"":-75.66727}",Colombia,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),24
rfC2mtXI8Y,,PPL,CO,3675504,,manaure,9703,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":11.77505,""longitude"":-72.44447}",Colombia,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),17
rhtEFCMy5Q,,PPL,CO,3674463,,montenegro,36499,Thu Dec 12 2019 14:16:17 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.56639,""longitude"":-75.75111}",Colombia,Thu Dec 12 2019 14:16:17 GMT-0500 (Colombia Standard Time),23
rkardfjmSB,,PPL,CO,3687324,,carmen de apicala,5640,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.14725,""longitude"":-74.72014}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),28
rnYBhoie6s,,PPL,CO,3675234,,marquetalia,6224,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.29659,""longitude"":-75.05496}",Colombia,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),37
rpZeA8HdmO,,PPL,CO,3781883,,gacheta,4088,Thu Dec 12 2019 14:17:21 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.81854,""longitude"":-73.63659}",Colombia,Thu Dec 12 2019 14:17:21 GMT-0500 (Colombia Standard Time),33
rwzTVe2Pas,,PPL,CO,3682385,,floridablanca,252267,Thu Dec 12 2019 14:17:15 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":7.06222,""longitude"":-73.08644}",Colombia,Thu Dec 12 2019 14:17:15 GMT-0500 (Colombia Standard Time),26
s1A25hftWr,,PPL,CO,3671576,,puerres,3812,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":1.19374,""longitude"":-77.26661}",Colombia,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),20
s2YXzI7OiA,,PPL,CO,3690102,,altamira,2123,Thu Dec 12 2019 14:17:20 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":2.06278,""longitude"":-75.78722}",Colombia,Thu Dec 12 2019 14:17:20 GMT-0500 (Colombia Standard Time),16
s2b9PKoEK3,,PPL,CO,3680601,,imues,1736,Thu Dec 12 2019 14:17:13 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":1.05295,""longitude"":-77.50171}",Colombia,Thu Dec 12 2019 14:17:13 GMT-0500 (Colombia Standard Time),20
s7x2mxggX1,,PPLA,CO,3688465,,bucaramanga,571820,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":7.12539,""longitude"":-73.1198}",Colombia,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),26
sBkCOqxHb7,,PPL,CO,3669557,,san jose de la montana,2819,Thu Dec 12 2019 14:16:12 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.85028,""longitude"":-75.68333}",Colombia,Thu Dec 12 2019 14:16:12 GMT-0500 (Colombia Standard Time),2
sCSdHIfnM9,,PPL,CO,3685840,,coromoro,1010,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.29461,""longitude"":-73.04022}",Colombia,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),26
sEOgGAJDgg,,PPL,CO,3670370,,salamina,18076,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.40733,""longitude"":-75.48749}",Colombia,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),37
sGMKTeRZwp,,PPL,CO,3667873,,sogamoso,126551,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.71434,""longitude"":-72.93391}",Colombia,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),36
sKFwwjhO4C,,PPL,CO,3678907,,la gloria,6810,Thu Dec 12 2019 14:17:12 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":8.61868,""longitude"":-73.80265}",Colombia,Thu Dec 12 2019 14:17:12 GMT-0500 (Colombia Standard Time),10
sLQiDEEvjf,,PPL,CO,3666326,,valencia,10652,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":8.25801,""longitude"":-76.14928}",Colombia,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),12
sMjf1e3KTL,,PPL,CO,3670910,,regidor,3386,Thu Dec 12 2019 14:16:14 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":8.66565,""longitude"":-73.82151}",Colombia,Thu Dec 12 2019 14:16:14 GMT-0500 (Colombia Standard Time),35
sOEtQVB5Ys,,PPLA,CO,3667983,,sincelejo,261187,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":9.30472,""longitude"":-75.39778}",Colombia,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),27
sU7O01KHZc,,PPL,CO,3681404,,guasca,3540,Thu Dec 12 2019 14:17:14 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.86601,""longitude"":-73.87748}",Colombia,Thu Dec 12 2019 14:17:14 GMT-0500 (Colombia Standard Time),33
sUzpZzrGpR,,PPLA2,CO,3671348,,puerto rico,12306,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":1.91417,""longitude"":-75.145}",Colombia,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),8
