PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,latitud,longitud,meses_transcurridos,ESTRATO,mes_de_pago,TIPO EMPLEO_empleado,TIPO EMPLEO_independiente,TIPO EMPLEO_pensionado,TIPO EMPLEO_prestador de servicios,TIPO DE VIVIENDA_familiar,TIPO DE VIVIENDA_propia,AÑOS EN LA VIVIENDA_mas de 5 anos,AÑOS EN LA VIVIENDA_menos de un ano,TIPO DE CONTRATO_prestacion de servicios,TIPO DE CONTRATO_termino fijo,PERIODO DE PAGO_quincenal,ESTADO CIVIL_comprometido/a,ESTADO CIVIL_divorciado/a,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,ESTADO CIVIL_viudo/a,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_primaria,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico,NIVEL EDUCATIVO_tecnologo,TIPO DE VEHICULO_moto,TIPO DE VEHICULO_ninguno,Estado,Estado_Estimado,Probabilidad
30.0,0.18,1203.0,2.2,0.19999999999999996,1.0,0.0,10.79408,-74.9164,21.02496714848883,2.0,5.0,1.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,19.49
30.0,0.5,2066.0,9.3,3.7,1.0,0.0,4.60971,-74.08175,156.0,3.0,9.0,1.0,-1.3877787807814457e-17,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,92.84
30.0,0.38,1434.0,1.7105882357138675,0.6,1.0,0.0,2.50861,-78.4511,60.0,2.0,6.0,1.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,62.86
30.0,0.15,992.0,0.8239999999999998,0.55,1.0,0.0,5.06889,-75.51738,7.0,3.0,2.9999999999999996,1.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,37.34
30.0,0.21,1700.0,2.0,1.0,1.0,0.0,4.60971,-74.08175,18.462549277266756,2.0,9.0,1.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,73.91
30.0,0.4,1372.0,1.17,0.4,1.0,0.0,4.60971,-74.08175,15.83442838370565,3.0,8.0,1.0,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.673617379884035e-19,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,1.0,1,1,87.03
30.0,0.5,968.0,1.5,0.9,1.0,0.0,4.60971,-74.08175,142.5755584756899,2.0,10.0,1.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,47.49
30.0,0.25,1386.0,3.05,1.5,1.0,0.0,6.25184,-75.56359,25.82128777923785,3.0,9.0,1.0,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,46.97
30.0,0.15,832.0,0.937,0.3,1.0,0.0,6.25184,-75.56359,61.892247043364,2.0,2.9999999999999996,1.0,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,16.08
30.0,0.2,1986.0,2.0,0.8,1.0,0.0,4.60971,-74.08175,31.192509855453352,3.0,11.0,-1.1102230246251565e-16,-1.3877787807814457e-17,0.0,0.9999999999999999,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,84.63
30.0,0.15,1700.0,1.2,0.4,1.0,0.0,6.25184,-75.56359,31.192509855453352,2.0,9.0,1.0,-1.3877787807814457e-17,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.673617379884035e-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,52.34
30.0,0.15,1902.0,1.1,0.35,1.0,0.0,8.74798,-75.88143,11.038107752956634,4.0,2.0,1.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,80.67
30.0,0.15,1924.0,1.2,0.6,1.0,0.0,4.60971,-74.08175,96.0,3.0,1.0,1.0,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,75.13
30.0,0.2,1723.0,4.2,3.0,1.0,0.0,4.60971,-74.08175,0.0,4.0,8.0,-1.1102230246251565e-16,-1.3877787807814457e-17,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.673617379884035e-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,48.75
30.0,0.5,463.0,3.95,1.3,1.0,0.0,4.60971,-74.08175,338.1406044678056,4.0,1.0,1.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.673617379884035e-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,22.88
